Parameter,Object,Writable,Value,Value type
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.WPAAuthenticationMode,false,true,PSKAuthentication,xsd:string
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.PreSharedKey,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.PreSharedKey.1,true,false,,
InternetGatewayDevice.LANDevice.1.WLANConfiguration.5.PreSharedKey.1.KeyPassphrase,false,true,defaultpass5g,xsd:string
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1,true,false,,
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.LANDevice.1.LANEthernetInterfaceConfig.1.Status,false,false,Up,xsd:string
InternetGatewayDevice.WANDevice,true,false,,
InternetGatewayDevice.WANDevice.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.Enable,false,true,true,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ConnectionType,false,true,IP_Routed,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.Username,false,true,user@isp.com,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.Password,false,true,pppoepass,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ConnectionStatus,false,false,Connected,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.ExternalIPAddress,false,false,100.64.10.1,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.Name,false,true,pppoe_internet,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANPPPConnection.1.DNSServers,false,false,8.8.8.8,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.X_HW_VLANMuxID,false,true,100,xsd:int
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.X_HW_VLAN_CoS,false,true,0,xsd:int
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.Enable,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ConnectionType,false,true,IP_Routed,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.AddressingType,false,true,DHCP,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ConnectionStatus,false,false,Disconnected,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.ExternalIPAddress,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.SubnetMask,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DefaultGateway,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.DNSServers,false,false,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1,true,false,,
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.PortMappingEnabled,false,true,false,xsd:boolean
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.PortMappingProtocol,false,true,TCP,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.ExternalPort,false,true,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.InternalPort,false,true,0,xsd:unsignedInt
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.InternalClient,false,true,,xsd:string
InternetGatewayDevice.WANDevice.1.WANConnectionDevice.1.WANIPConnection.1.PortMapping.1.PortMappingDescription,false,true,,xsd:string
InternetGatewayDevice.Services,true,false,,
InternetGatewayDevice.Services.VoiceService,true,false,,
InternetGatewayDevice.Services.VoiceService.1,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServerPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServer,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServerPort,false,true,5060,xsd:unsignedInt
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.Enable,false,true,Disabled,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP,true,false,,
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthUserName,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthPassword,false,true,,xsd:string
InternetGatewayDevice.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.URI,false,true,,xsd:string
InternetGatewayDevice.Time,true,false,,
InternetGatewayDevice.Time.NTPServer1,false,true,pool.ntp.org,xsd:string
InternetGatewayDevice.Time.LocalTimeZone,false,true,UTC+0,xsd:string
InternetGatewayDevice.IPPingDiagnostics,true,false,,
InternetGatewayDevice.IPPingDiagnostics.DiagnosticsState,false,true,None,xsd:string
InternetGatewayDevice.IPPingDiagnostics.Host,false,true,,xsd:string
InternetGatewayDevice.IPPingDiagnostics.NumberOfRepetitions,false,true,3,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.Timeout,false,true,1000,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.SuccessCount,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.FailureCount,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.AverageResponseTime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.MinimumResponseTime,false,false,0,xsd:unsignedInt
InternetGatewayDevice.IPPingDiagnostics.MaximumResponseTime,false,false,0,xsd:unsignedInt
