Parameter,Object,Writable,Value,Value type
Device.WiFi.Radio.2.MaxBitRate,false,false,2402,xsd:unsignedInt
Device.WiFi.Radio.3,true,false,,
Device.WiFi.Radio.3.Enable,false,true,true,xsd:boolean
Device.WiFi.Radio.3.Status,false,false,Up,xsd:string
Device.WiFi.Radio.3.Name,false,false,radio_6g,xsd:string
Device.WiFi.Radio.3.OperatingFrequencyBand,false,false,6GHz,xsd:string
Device.WiFi.Radio.3.OperatingStandards,false,true,ax,xsd:string
Device.WiFi.Radio.3.Channel,false,true,37,xsd:unsignedInt
Device.WiFi.Radio.3.AutoChannelEnable,false,true,true,xsd:boolean
Device.WiFi.Radio.3.OperatingChannelBandwidth,false,true,160MHz,xsd:string
Device.WiFi.Radio.3.PossibleChannels,false,false,"1,5,9,13,17,21,25,29,33,37,41,45,49,53,57,61,65,69,73,77,81,85,89,93,97,101,105,109,113,117,121,125,129,133,137,141,145,149,153,157,161,165,169,173,177,181,185,189,193,197,201,205,209,213,217,221,225,229,233",xsd:string
Device.WiFi.Radio.3.MaxBitRate,false,false,4804,xsd:unsignedInt
Device.WiFi.SSID,true,false,,
Device.WiFi.SSID.1,true,false,,
Device.WiFi.SSID.1.Enable,false,true,true,xsd:boolean
Device.WiFi.SSID.1.Status,false,false,Up,xsd:string
Device.WiFi.SSID.1.SSID,false,true,Nokia-XS2426G-2G,xsd:string
Device.WiFi.SSID.1.BSSID,false,false,00:1E:80:6E:00:01,xsd:string
Device.WiFi.SSID.1.LowerLayers,false,false,Device.WiFi.Radio.1,xsd:string
Device.WiFi.SSID.2,true,false,,
Device.WiFi.SSID.2.Enable,false,true,true,xsd:boolean
Device.WiFi.SSID.2.Status,false,false,Up,xsd:string
Device.WiFi.SSID.2.SSID,false,true,Nokia-XS2426G-5G,xsd:string
Device.WiFi.SSID.2.BSSID,false,false,00:1E:80:6E:00:02,xsd:string
Device.WiFi.SSID.2.LowerLayers,false,false,Device.WiFi.Radio.2,xsd:string
Device.WiFi.SSID.3,true,false,,
Device.WiFi.SSID.3.Enable,false,true,true,xsd:boolean
Device.WiFi.SSID.3.Status,false,false,Up,xsd:string
Device.WiFi.SSID.3.SSID,false,true,Nokia-XS2426G-6E,xsd:string
Device.WiFi.SSID.3.BSSID,false,false,00:1E:80:6E:00:03,xsd:string
Device.WiFi.SSID.3.LowerLayers,false,false,Device.WiFi.Radio.3,xsd:string
Device.WiFi.AccessPoint,true,false,,
Device.WiFi.AccessPoint.1,true,false,,
Device.WiFi.AccessPoint.1.Enable,false,true,true,xsd:boolean
Device.WiFi.AccessPoint.1.Status,false,false,Enabled,xsd:string
Device.WiFi.AccessPoint.1.SSIDReference,false,false,Device.WiFi.SSID.1,xsd:string
Device.WiFi.AccessPoint.1.Security,true,false,,
Device.WiFi.AccessPoint.1.Security.ModeEnabled,false,true,WPA2-Personal,xsd:string
Device.WiFi.AccessPoint.1.Security.KeyPassphrase,false,true,defaultpass2g,xsd:string
Device.WiFi.AccessPoint.2,true,false,,
Device.WiFi.AccessPoint.2.Enable,false,true,true,xsd:boolean
Device.WiFi.AccessPoint.2.Status,false,false,Enabled,xsd:string
Device.WiFi.AccessPoint.2.SSIDReference,false,false,Device.WiFi.SSID.2,xsd:string
Device.WiFi.AccessPoint.2.Security,true,false,,
Device.WiFi.AccessPoint.2.Security.ModeEnabled,false,true,WPA2-Personal,xsd:string
Device.WiFi.AccessPoint.2.Security.KeyPassphrase,false,true,defaultpass5g,xsd:string
Device.WiFi.AccessPoint.3,true,false,,
Device.WiFi.AccessPoint.3.Enable,false,true,true,xsd:boolean
Device.WiFi.AccessPoint.3.Status,false,false,Enabled,xsd:string
Device.WiFi.AccessPoint.3.SSIDReference,false,false,Device.WiFi.SSID.3,xsd:string
Device.WiFi.AccessPoint.3.Security,true,false,,
Device.WiFi.AccessPoint.3.Security.ModeEnabled,false,true,WPA3-SAE,xsd:string
Device.WiFi.AccessPoint.3.Security.MFPConfig,false,true,Required,xsd:string
Device.WiFi.AccessPoint.3.Security.KeyPassphrase,false,true,SecurePassword123,xsd:string
Device.Hosts,true,false,,
Device.Hosts.HostNumberOfEntries,false,false,0,xsd:unsignedInt
Device.DHCPv4,true,false,,
Device.DHCPv4.Server,true,false,,
Device.DHCPv4.Server.Enable,false,true,true,xsd:boolean
Device.DHCPv4.Server.Pool,true,false,,
Device.DHCPv4.Server.Pool.1,true,false,,
Device.DHCPv4.Server.Pool.1.Enable,false,true,true,xsd:boolean
Device.DHCPv4.Server.Pool.1.MinAddress,false,true,192.168.1.100,xsd:string
Device.DHCPv4.Server.Pool.1.MaxAddress,false,true,192.168.1.200,xsd:string
Device.DHCPv4.Server.Pool.1.SubnetMask,false,true,255.255.255.0,xsd:string
Device.Ethernet,true,false,,
Device.Ethernet.Interface,true,false,,
Device.Ethernet.Interface.1,true,false,,
Device.Ethernet.Interface.1.Enable,false,true,true,xsd:boolean
Device.Ethernet.Interface.1.Status,false,false,Up,xsd:string
Device.Ethernet.Interface.1.Name,false,false,eth0,xsd:string
Device.IP,true,false,,
Device.IP.Interface,true,false,,
Device.IP.Interface.1,true,false,,
Device.IP.Interface.1.Enable,false,true,true,xsd:boolean
Device.IP.Interface.1.Status,false,false,Up,xsd:string
Device.IP.Interface.1.IPv4AddressNumberOfEntries,false,false,1,xsd:unsignedInt
Device.IP.Interface.1.IPv4Address,true,false,,
Device.IP.Interface.1.IPv4Address.1,true,false,,
Device.IP.Interface.1.IPv4Address.1.IPAddress,false,true,100.64.40.1,xsd:string
Device.IP.Interface.1.IPv4Address.1.SubnetMask,false,true,255.255.255.0,xsd:string
Device.PPP,true,false,,
Device.PPP.Interface,true,false,,
Device.PPP.Interface.1,true,false,,
Device.PPP.Interface.1.Enable,false,true,true,xsd:boolean
Device.PPP.Interface.1.Status,false,false,Up,xsd:string
Device.PPP.Interface.1.Username,false,true,user@isp.com,xsd:string
Device.PPP.Interface.1.Password,false,true,pppoepass,xsd:string
Device.Optical,true,false,,
Device.Optical.Interface,true,false,,
Device.Optical.Interface.1,true,false,,
Device.Optical.Interface.1.Enable,false,true,true,xsd:boolean
Device.Optical.Interface.1.Status,false,false,Up,xsd:string
Device.Optical.Interface.1.OpticalSignalLevel,false,false,-18500,xsd:int
Device.Optical.Interface.1.TransmitOpticalLevel,false,false,2100,xsd:int
Device.Time,true,false,,
Device.Time.NTPServer1,false,true,pool.ntp.org,xsd:string
Device.Time.LocalTimeZone,false,true,UTC+0,xsd:string
Device.Services,true,false,,
Device.Services.VoiceService,true,false,,
Device.Services.VoiceService.1,true,false,,
Device.Services.VoiceService.1.VoiceProfile,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1.SIP,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServer,false,true,,xsd:string
Device.Services.VoiceService.1.VoiceProfile.1.SIP.ProxyServerPort,false,true,5060,xsd:unsignedInt
Device.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServer,false,true,,xsd:string
Device.Services.VoiceService.1.VoiceProfile.1.SIP.RegistrarServerPort,false,true,5060,xsd:unsignedInt
Device.Services.VoiceService.1.VoiceProfile.1.Line,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1.Line.1,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1.Line.1.Enable,false,true,Disabled,xsd:string
Device.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP,true,false,,
Device.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthUserName,false,true,,xsd:string
Device.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.AuthPassword,false,true,,xsd:string
Device.Services.VoiceService.1.VoiceProfile.1.Line.1.SIP.URI,false,true,,xsd:string
